What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Do you encourage others to work remotely? (This can be anyone in your life from coworkers to friends and family.),What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD? (We are not gathering your name or email address so this information will not be able to be used to identify you.),What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
Philippines,Software,,Design,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,The flexibility to work from any location,,4 weeks,4 weeks,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,11 to 50,76 to 99%,Yes,Yes,Partially,,Between $11 and $20,Between $101 and $200,"$25,001 to $50,000",,
United States,Software,,Product,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,2 weeks,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,No,Yes,No,No,More than $30,More than $500,"Over $200,000",Nothing,No
United States,Marketing,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,Between $1 and $5,Between $1 and $100,"$75,001 to $100,000",How’s easily everyone gets their work done.,
United States,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,4 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,"Home office setup, including desk, chair, computer and monitor -- all provided by employer",Between $1 and $5,Between $1 and $100,"$150,001 to $200,000",Hermititis,"Working at a 100% distributed company has made me realize that just about any job in the IT sector can be done effectively and beautifully, remotely."
Romania,Software,,Design,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,2 weeks,None,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $20 and $30,Between $101 and $200,"$25,001 to $50,000",Flexibility,
Germany,IT and Services,,Customer Support,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,3 weeks,4 weeks,Home,,Not applicable,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,No,Yes,Partially,"Providing Laptop, Hardware for own Lab, Cloud costs for lab, roaming costs for mobile if given. 

HomeOffice is full equipped like a workplace in the office (external monitor, adjustable desk, chair), office IT.",Between $1 and $5,Between $1 and $100,"$125,001 to $150,000","That the social environment has issues with me as a person that is always home. 

In addition how hard work it is to have work and social schedule side by side without having the feeling one drops off.",
United States,IT and Services,,Operations,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Business owner,1,I am a solo business or freelancer and work remotely,Fewer than 10,100%,Partially,Yes,Yes,,Between $11 and $20,,"$75,001 to $100,000","How hard it is to stop!
",
South Africa,E-commerce,,Operations,,Executive level,1 year to 4 years,76 to 99%,I would like to work remotely more often.,1,0,Unplugging after work,,The flexibility to work from any location,,3 weeks,2 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $1 and $100,"up to $25,000","How organised I can be
","How many hours a week do you work?
20 hours "
United States,E-commerce,,Customer Support,,Professional level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Unplugging after work,,Ability to spend time with family,,None,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,If it's company related we can ask for it to be expensed if it's a new situation. It's typically approved.,More than $30,Between $201 and $300,"$100,000 to $125,000","That it's so difficult to ""turn off"" at the end of the day/",
Sweden,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,More than 6 weeks,4 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,,"$25,001 to $50,000",,
Ireland {Republic},E-commerce,,Customer Support,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to work from home,,4 weeks,4 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",51 to 75%,Partially,Partially,Partially,co-working spaces,Between $11 and $20,Between $1 and $100,"$25,001 to $50,000","Thought it would be harder to be social with my team as we're in different cities, but I know them better than some people I worked face to face with for years. ",There was no option for $0 that I spend on co-working spaces. The company pays for them when they happen.
Italy,Media and Publishing,,Marketing and Advertising,,Entry level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,3 weeks,3 weeks,Home,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,,"up to $25,000",i can do everything i want everyday,
India,Marketing,,Leadership,,Executive level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,None,More than 6 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Business owner,1,At my company we can work from home as needed,Fewer than 10,100%,Yes,Yes,Yes,Travelling expenses,Between $5 and $10,Between $1 and $100,"$25,001 to $50,000",Stress levels are way lower,
Sri Lanka,Marketing,,Marketing and Advertising,,Professional level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,The flexibility to work from any location,,2 weeks,3 weeks,Coffee shops and cafes,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,,Between $5 and $10,,"up to $25,000",,
United States,Software,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,The flexibility to work from any location,,2 weeks,Unlimited,Home,,Not applicable,,Very frequently (More than six months of the year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",76 to 99%,Yes,Yes,No,"Cell Phone (hardware + monthly stipend for bill)
Desk + Monitor + Chair",Between $1 and $5,,"$125,001 to $150,000","I knew it would suit me. What I didn’t realize, was how much less stressful it would be to do the same work when I got to do it remotely.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Software,,Engineering,,Senior level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Staying motivated,,Ability to spend time with family,,3 weeks,Unlimited,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,"501 to 1,000",26 to 50%,No,No,No,No,,,"$150,001 to $200,000",,
India,IT and Services,,Marketing and Advertising,,Senior level,More than 4 years,100%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,Less than 1 week,None,Home,,Not applicable,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000",More productivity with less meetings and other formalities if we work in a office.,No
United States,Financial Services,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,The flexibility to work from any location,,1 week,2 weeks,Home,,Libraries,,Almost all the time,Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,,Between $1 and $5,,"$125,001 to $150,000",,
Vietnam,Media and Publishing,,Customer Support,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,The flexibility to work from any location,,Less than 1 week,None,Home,,Coffee shops and cafes,,Always,Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"$50,001 to $75,000",More productive and love routine.,
United States,Software,,Engineering,,Professional level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,1 week,None,Coworking spaces,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $1 and $100,"$125,001 to $150,000",The amount of real productivity.,
United States,Media and Publishing,,,Content,Management level,More than 4 years,1 to 25%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to work from home,,2 weeks,Unlimited,,Office,Home,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,"501 to 1,000",51 to 75%,No,No,No,Cell phone data plan,,,"$125,001 to $150,000",I can get almost everything done! I can do every part of my job just as well remotely except managing people.,
Ireland {Republic},,Art,,Art,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,The flexibility to work from any location,,More than 6 weeks,Unlimited,Home,,Home,,Very frequently (More than six months of the year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"Over $200,000",Nothing,
United States,Media and Publishing,,Customer Support,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,1 week,None,Home,,,hotel or hq,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,,"$25,001 to $50,000",I'm way more productive than in an office. And occasional facetime is important.,
United States,Marketing,,Marketing and Advertising,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,0,Distractions at home,,Ability to have a flexible schedule,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,More than $30,,"$50,001 to $75,000",Increased efficiency,
India,IT and Services,,Marketing and Advertising,,Professional level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Loneliness,,The flexibility to work from any location,,1 week,1 week,Home,,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $201 and $300,"up to $25,000",net problem,no
United States,,Energy,,Communications,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,None,None,Home,,Not applicable,,Never,Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,,,,"up to $25,000",I was surprised that I would sometimes miss the camaraderie of the office environment.,
Portugal,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,1 to 25%,No,No,No,,Between $11 and $20,Between $101 and $200,"$25,001 to $50,000",,
Chile,Software,,Customer Support,,Entry level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,The flexibility to work from any location,,5 weeks,Unlimited,,A camper on the panamerican highway,Coffee shops and cafes,,Always,Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,,,,"$50,001 to $75,000",,
United States,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to work from home,,2 weeks,2 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,,Between $1 and $5,Between $1 and $100,"$150,001 to $200,000",I can get so much more done at home than in the office!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Non-profit,,Marketing and Advertising,,Executive level,6 months to 11 months,76 to 99%,I am happy with the amount of time I work remotely.,1,0,Unplugging after work,,Ability to work from home,,4 weeks,2 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,1 to 25%,No,No,No,"Online subscriptions to Dropbox, grammarly, and social sites",Between $5 and $10,Between $1 and $100,"up to $25,000",I would also like to collaborate in person. Didn't think that I would.,
New Zealand,Marketing,,Marketing and Advertising,,Professional level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,More than 6 weeks,5 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,101 to 500,1 to 25%,No,No,No,,Between $20 and $30,,"$50,001 to $75,000",,
Germany,Marketing,,Marketing and Advertising,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,The flexibility to work from any location,,4 weeks,Unlimited,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,,"$25,001 to $50,000",,
United States,Travel and Tourism,,Customer Support,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,More than 6 weeks,None,Home,,,Hotel or cruise ship,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,Yes,No,No,No,Between $11 and $20,,"$25,001 to $50,000",Nothing,"Like anything... Pluses and minuses:)

low overhead makes it easier for new business"
India,Software,,Leadership,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,The flexibility to work from any location,,3 weeks,More than 6 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,Partially,Yes,Yes,"travel, desks, macbooks",Between $11 and $20,Between $101 and $200,"$50,001 to $75,000",How much time I have,
United States,Consumer products,,Marketing and Advertising,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,2 weeks,5 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,No,Between $1 and $5,Between $1 and $100,"$150,001 to $200,000",That others think you can’t do a senior role remotely but proving them wrong,
Canada,Software,,Customer Support,,Professional level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to work from home,,4 weeks,2 weeks,Home,,Not applicable,,Never,Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000",Life changing,
United Kingdom,Financial Services,,Design,,Executive level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,0,,Stimulating a start time & over eating,Ability to spend time with family,,5 weeks,4 weeks,Home,,,Office,Very frequently (More than six months of the year),Freelancer / Self-employed,,,,,,,,,,,"$75,001 to $100,000",That I'd miss a commute or fixed time away from home,
Jamaica,Software,,Engineering,,Professional level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,Less than 1 week,Unlimited,Coffee shops and cafes,,Home,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,Home Office equipment,Between $20 and $30,,"$75,001 to $100,000",Most processes don't take any more or less time than it would take if we were all in the same location.,
United Kingdom,Non-profit,,Data,,Professional level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,,Non remote colleagues that don’t support/agree with remote working making life difficult,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,"501 to 1,000",26 to 50%,No,No,No,None,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000","How productive I can be
How some managers still rate presenteeism higher than output ",
Norway,Software,,Leadership,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Not applicable,,Infrequently (Less than a week per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,76 to 99%,No,No,No,n o,Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",--,--
Mexico,IT and Services,,Leadership,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Ability to have a flexible schedule,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,Yes,No,no,Between $1 and $5,,"$50,001 to $75,000",How much I like it,"The most important things one needs to be successful working remotely are great communications, clear expectations, well-defined processes, and systems. Great communications are essential."
Russian Federation,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to spend time with family,,5 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,No,Work related equipment,Between $20 and $30,Between $1 and $100,"$75,001 to $100,000",How hard it is to shift between home and work when both are in the same place.,
Portugal,E-commerce,,Design,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,5 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,,Between $20 and $30,Between $201 and $300,"$100,000 to $125,000",,
France,IT and Services,,Engineering,,Management level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,5 weeks,5 weeks,Home,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,Fewer than 10,26 to 50%,Yes,No,No,travels to HQ,Between $1 and $5,,"$50,001 to $75,000",No travel time! Time gains but not seconds to switch between pro life and family life,
United States,Software,,Human Resources,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,5 weeks,Unlimited,Home,,Not applicable,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Partially,Yes,home office equipment/setup,,,"Over $200,000",how much more productive I am than when I was in an office,
United States,Software,,Engineering,,Professional level,Less than six months,51 to 75%,I would like to work remotely more often.,1,1,Unplugging after work,,Ability to have a flexible schedule,,2 weeks,3 weeks,Coworking spaces,,Home,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,No,Between $20 and $30,Between $1 and $100,"$75,001 to $100,000",Ease,No
United States,Marketing,,Marketing and Advertising,,Executive level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Business owner,0,Everyone at my company works remotely,Fewer than 10,100%,Yes,No,No,No,Between $5 and $10,,"$50,001 to $75,000",How much happier I am with my life.,
