Do you work remotely sometimes?,What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,24. Does your company pay for your cell phone?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD?,What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
1,Argentina,Marketing,,Marketing and Advertising,,Senior level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,4 weeks,4 weeks,Home,,Coffee shops,,Never,Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,,Between $5 and $10,Not applicable,"up to $25,000",,
1,Argentina,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to work from home,,1 week,None,Home,,Not applicable,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$75,001 to $100,000",,
1,Argentina,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,5 weeks,5 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,Between $101 and $200,"$75,001 to $100,000",How much can be accomplished having the team distributed across the globe.,"You may ask if the company that I work for has remote work as first-class citizen or if it is an exception. In my case, it is first-class :)"
1,Argentina,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Coworking spaces,,Never,Freelancer / Self-employed,,,,,,,,,,Not applicable,Between $1 and $100,"$50,001 to $75,000",,
1,Argentina,Non-profit,,Marketing and Advertising,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Flexibility to work from any location,,2 weeks,3 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,More than $30,Not applicable,"$75,001 to $100,000","If you are in the same time zone, how easy it is to feel part of the local team. With the amount of tools (e.g. Slack, Hangouts, Zoom, etc) it's really not hard to remain connected with colleagues.",No
1,Argentina,IT and Services,,Operations,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,1 week,Unlimited,Home,,Coffee shops,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Not applicable,"$25,001 to $50,000","That relationships can be as meaningful, and that personal debriefing is even better after long times of not seeing each other","I would address the capacity of companies hiring very skilled professionals abroad, as an excuse to pay less. It happens more often than not, and even for people like us it makes sense but it´s not exactly fair."
1,Argentina,IT and Services,,Customer Support,,Entry level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,1 week,3 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,51 to 100,100%,No,No,Yes,No,Equipment,Between $5 and $10,Between $301 and $400,"up to $25,000",\-,\-
1,Argentina,Software,,Engineering,,Senior level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to work from home,,2 weeks,3 weeks,Home,,Company's office,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,11 to 50,100%,No,No,No,No,"Gim, english classess",Not applicable,Not applicable,"$25,001 to $50,000",,
1,Argentina,IT and Services,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Flexibility to work from any location,,4 weeks,Unlimited,Home,,Not applicable,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,101 to 500,76 to 99%,No,No,No,No,,Not applicable,More than $500,"$50,001 to $75,000",,
1,Australia,Software,,Finances,,Professional level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,4 weeks,4 weeks,Libraries,,,hostels,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,101 to 500,1 to 25%,No,Yes,No,No,No,Between $11 and $20,Not applicable,"$50,001 to $75,000",Ease of internet,
1,Australia,Non-profit,,Data,,,1 year to 4 years,,,1,0,Loneliness,,Ability to work from home,,3 weeks,6 weeks,Coffee shops,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,,,,,,,,,,,
1,Australia,Software,,Marketing and Advertising,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,2 weeks,2 weeks,Coffee shops,,Home,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,No,no,More than $30,Not applicable,"$125,001 to $150,000","lack of interaction, amount of time on the phone",no
1,Australia,IT and Services,,Product,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,1 week,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $20 and $30,Not applicable,"$50,001 to $75,000",How much the experience has improved over the last 10 years with the quality of remote work tools available now.,.
1,Australia,IT and Services,,Engineering,,Professional level,6 months to 11 months,100%,I would like to work remotely less often.,1,1,Loneliness,,Not having to commute,,2 weeks,4 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,101 to 500,1 to 25%,No,No,No,No,No,Not applicable,Not applicable,"$125,001 to $150,000",How lonely it can be.,
1,Australia,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,More than 6 weeks,Unlimited,Home,,Coffee shops,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,Not applicable,"$100,000 to $125,000",how productive it is,no
1,Australia,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,"Laptops
Headphones
Mobile phones
Other work-related electronics
Any books
English language courses
Sport activities/gym memberships
Conferences (incl. travel and accomodation)",Between $1 and $5,Between $1 and $100,"$75,001 to $100,000",,
1,Australia,IT and Services,,Product,,Executive level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Flexibility to work from any location,,4 weeks,6 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Yes,Yes,Yes,Partially,Gym membership,Not applicable,Between $201 and $300,,How productive I am without distractions!,
1,Australia,,Management Consulting,,Broad range of management consulting services in tech,Professional level,6 months to 11 months,76 to 99%,I would like to work remotely less often.,0,0,Difficulties with collaboration and communication,,Ability to work from home,,Less than 1 week,4 weeks,Home,,Company's office,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",26 to 50%,No,No,No,No,No,Not applicable,Not applicable,"$25,001 to $50,000","Companies are outsourcing more tech work, basically forcing you to work remotely as the rest of the project team is in another country",
1,Australia,Software,,Engineering,,Senior level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Finding reliable wifi,,Flexibility to work from any location,,None,4 weeks,Libraries,,Coworking spaces,,Frequently (Between one and six months per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,1 to 25%,No,No,Yes,No,,Between $5 and $10,Between $201 and $300,"$50,001 to $75,000",,
1,Australia,IT and Services,,Operations,,Management level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,1 week,4 weeks,Home,,Coffee shops,,Never,Employee,,Everyone at my company works remotely,11 to 50,76 to 99%,Yes,No,No,No,No,More than $30,Not applicable,"$75,001 to $100,000",Freedom,Would like to see more companies offering remote well structured work.
1,Australia,IT and Services,,Data,,Management level,More than 4 years,26 to 50%,I would like to work remotely more often.,1,1,,Other colleagues being not so mature while being left on their own,Not having to commute,,More than 6 weeks,5 weeks,Company's office,,Home,,Never,Employee,,At my company we can work remotely a certain number of days per week/month,51 to 100,1 to 25%,No,No,No,No,None,Not applicable,Not applicable,"$125,001 to $150,000","Nothing, used to freelance",
1,Australia,Marketing,,Design,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Not having to commute,,None,Unlimited,Home,,Home,,Never,Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$100,000 to $125,000",The fact that you really need to set boundaries between work life and home life.,
1,Australia,Law and Legal Services,,Design,,Professional level,1 year to 4 years,100%,I would like to work remotely less often.,1,0,Being in a different timezone than teammates,,Not having to commute,,2 weeks,4 weeks,Coworking spaces,,Home,,Never,Employee,,Everyone at my company works remotely,"501 to 1,000",51 to 75%,Partially,Partially,Yes,No,Office supplies,Not applicable,Between $401 and $500,"$100,000 to $125,000","Importance of spontaneous bouncing of ideas.
Difficulty having to make a decision without hearing alternate views.
Cultural/attitude differences between countries to work.","Do you think a remote working model works for the company?  Are there roles/functions that it does work for and ones where it does not?
Could the company do better if there were fewer people but colocated?  
Does it make a difference if one is remote from customers (vs colleagues)?
What does the company use for communication and info sharing (Office, Skype, GoToMeeting, Google Docs, Cloud HR and Accounting, etc)?
What is optimal remote working team size?
How important is having strict tight defined role for a remote worker vs a ""do what needs to be done to get the job done role"" to being an effective remote worker?"
1,Australia,Software,,Engineering,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to spend time with family,,4 weeks,4 weeks,Home,,,workmate's house,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",1 to 25%,No,No,No,No,no,More than $30,Not applicable,"$125,001 to $150,000","The increased engagement with the community that I live in. I've been an engineer for 20 years and for the past 5 I have worked primarily from home. Since working from home, the town I live in has gone from just being a place I live, to a community that I am involved in.  I feel like this is a great benefit for society, if more people could feel connected to the community they live in rather than a city an hour away.",
1,Australia,Software,,Operations,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,3 weeks,4 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,101 to 500,1 to 25%,No,No,Yes,Partially,No,Between $5 and $10,Between $1 and $100,"$125,001 to $150,000",How many people don’t take into account to document decisions made for all to see,Nope
1,Australia,Education,,Operations,,Executive level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,,Being able to be completely focused,3 weeks,4 weeks,Home,,Coworking spaces,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Between $101 and $200,"$25,001 to $50,000",You can organize your time as you want,"For me, there are more distractions somewhere else than at home even though that at home I feel a little bit lonely sometimes"
1,Australia,Software,,Sales,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,3 weeks,4 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,76 to 99%,No,Yes,No,Partially,No,Between $11 and $20,Not applicable,"Over $200,000",You work longer hours but because of no commuting in fact the hours for work are less in total.,No
1,Australia,Marketing,,Engineering,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Yes,Yes,Yes,No,"Home office setup, computer, travel to work retreats",Between $5 and $10,Not applicable,"$100,000 to $125,000","It's very liberating and had a huge and positive impact on my life. I'm less stressed, I enjoy my life more, I get to set my own schedule and spend time with friends and family.",
1,Australia,Software,,Engineering,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Not having to commute,,2 weeks,2 weeks,Home,,Coffee shops,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,No,No,No,No,,Between $20 and $30,Not applicable,"$100,000 to $125,000",I am invisible to any colleague outside my direct team.,
1,Australia,IT and Services,,Leadership,,Senior level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Not having to commute,,1 week,4 weeks,Home,,Company's office,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,"More than 1,001",26 to 50%,No,Yes,No,No,,Between $11 and $20,Not applicable,"Over $200,000",,
1,Australia,IT and Services,,Leadership,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to spend time with family,,3 weeks,4 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,"More than 1,001",51 to 75%,No,Yes,Yes,No,,More than $30,Not applicable,"$150,001 to $200,000",,
1,Australia,,program management,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,refusing more work,,being really productive compared to peers,More than 6 weeks,Unlimited,,"wherever I am, all of the above",Not applicable,,Very frequently (More than six months of the year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,no. I charge enough that I don't need the administration of tracking fiddly payments for this and that.,Between $5 and $10,Between $201 and $300,"Over $200,000",how easy it is.,I charge more as my contracted time reaches my or set maximum of 200 days.
1,Australia,Software,,Operations,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,6 weeks,Unlimited,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,"More than 1,001",76 to 99%,No,No,Partially,Yes,Home office setup,More than $30,Between $201 and $300,"$125,001 to $150,000",How much I love it,
1,Australia,Non-profit,,Leadership,,Executive level,1 year to 4 years,100%,I would like to work remotely less often.,1,0,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Not applicable,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,Yes,No,No,No,Not applicable,Not applicable,"$125,001 to $150,000",Loneliness,Remote with a difficult time zone is hard
1,Australia,IT and Services,,Data,,Professional level,More than 4 years,1 to 25%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,3 weeks,4 weeks,Company's office,,Home,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,"More than 1,001",26 to 50%,Yes,Yes,No,No,No,Not applicable,Not applicable,"$75,001 to $100,000",Endorsed by policy but frowned upon by line management,No
1,Australia,IT and Services,,Design,,Senior level,More than 4 years,26 to 50%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,Company's office,,Never,Employee,,At my company we can work from home as needed,11 to 50,26 to 50%,No,No,No,No,nope,Not applicable,Not applicable,"$25,001 to $50,000",motivation,
1,Australia,Financial Services,,Engineering,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to spend time with family,,5 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,Yes,No,,Not applicable,Not applicable,"Over $200,000",,
1,Australia,Software,,,Technical writing,Professional level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Flexibility to work from any location,,3 weeks,6 weeks,Home,,Libraries,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,No,Yes,Yes,No,"We have a wellness/self-care budget, a green commuting budget,  and a home office setup budget. ",Between $20 and $30,Not applicable,"$50,001 to $75,000",I was surprised to enjoy the time when my teammates are offline (in another timezone). It allows me to get so much more done than I expected.,
